Title,Sector,Description,Salary
ХУДАЛДАН АВАЛТЫН АХЛАХ МЭРГЭЖИЛТЭН,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Банкны албан хэрэгцээнд шаардлагатай биет болон биет бус хөрөнгийн худалдан авалтыг зохих журмын дагуу, эдийн засгийн үр ашигтайгаар, холбогдох баримт бүрдүүлж, зохих зөвшөөрлийн дагуу хийх
Худалдан авалт, ажил гүйцэтгэлтэй холбоотой үнийн, зах зээлийн судалгааг үнэн бодитой, чанартай хийх, гэрээний төслийг Англи болон Монгол хэл дээр бэлтгэх, гэрээний хэрэгжилтэд хяналт тавих, гэрээний төлбөр шилжүүлэх
Тендер сонгон шалгаруулалт зохион байгуулах, холбогдох шийдвэрийн дагуу гэрээ байгуулах, төлбөр шилжүүлэх
Хэлтсийн үйл ажиллагаатай холбоотой бодлого, журам боловсруулах, тэдгээрт өөрчлөлт оруулах, санал өгөх, хэлэлцүүлж батлуулах, хэрэгжилтэнд хяналт тавих
Хэлтсийн үндсэн чиг үүргийн хүрээнд хийгдэж байгаа ажиллагаанд дүн шинжилгээ хийх, холбогдох саналыг бэлтгэн удирдлагад танилцуулах
Банкны нэгдсэн төсөв төлөвлөгөө боловсруулахад нэгтгэл хийж туслалцаа үзүүлэх","2,100,000 - 2,500,000 ₮"
ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Тогтоосон маршрутын дагуу худалдааны цэгээ бүрэн хамарч ажиллах
Өөрийн чиглэлийн харилцагч нарт компанийн тухай үнэн зөв мэдээллийг өгч, бүтээгдэхүүний үнийг борлуулалтын албанаас гаргаснаар баримтлан ажиллах
Үйл ажиллагаатай холбоотой үйлдэгдэж байгаа баримтуудын бүрэн бүтэн байдлыг хангаж хадгалалт хамгаалалтыг хариуцах","2,500,000 - 3,000,000 ₮"
Теллер /БСБ Финанс ББСБ/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
ББСБ-ын санхүүгийн бэлэн болон бэлэн бус гүйлгээг хийх, дотоодын дансуудтай харьцах
АБТ-д заагдсан бусад ажил үүрэг","1,800,000 - 2,100,000 ₮"
МЕРЧИНДАЙЗЕР,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Борлуулалтын цэг, бүтээгдэхүүний өрөлт, хураалт байршуулалтын хяналт хийх
Хөргүүрийн үр өгөөж, бүтээгдэхүүн байршуулалт температур, чийгшил хяналт бүртгэл хөтлөлт хийх 
Худалдааны төлөөлөгчийн борлуулалтын цэгийн эргэцийн хяналт хийх 
Харилцагчийн лангуун дээрх болон агуулах дахь бүтээгдэхүүний хугацаа, чанарын хяналт хийх","1,500,000 - 1,800,000 ₮"
Санхүүгийн менежер,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг


Гадны хөрөнгө оруулагч, түншүүдийн шаардсан чанарын болон тоон өгөгдлийг боловсруулан гаргаж өгөх, үнэн бодит, нэгдмэл байдлыг хангах
Гадны хөрөнгө оруулалтын сангуудтай холбогдон, тэдгээрээс санхүүжилт татах ажлыг зохион байгуулах
Гадны хөрөнгө оруулагчдын тавьсан санхүүгийн харьцаа үзүүлэлтийг тооцох түүнд хяналт тавих","2,100,000 - 2,500,000 ₮"
БҮТЭЭГДЭХҮҮН МАРКЕТИНГИЙН  МЭРГЭЖИЛТЭН,"Маркетинг, PR, Менежмент","Гүйцэтгэх үндсэн үүрэг
Хариуцсан бүтээгдэхүүн үйлчилгээний сайжруулалт, шинэчлэлт, шаардлагатай бол цуцлалт зэрэг амьдралын мөчлөгийг бүхэлд нь удирдах.
Шинэ бүтээгдэхүүнийг зах зээлд нэвтрүүлэх үйл ажиллагааг цогцоор удирдан ажиллана.
Бүтээгдэхүүн үйлчилгээний байгууллагын хэрэглэгчдэд зохиулсан тусгай үнэ тарифыг тогтоох, үйлчилгээний нөхцөлийг боловсруулах, маркетингийн үйл ажиллагааг төлөвлөн хэрэгжүүлэх.
Нөхцөл байдлын шинжилгээ, үр дүнгийн тайланг тогтмол гаргах.","2,500,000 - 3,000,000 ₮"
Уурхайн тооцооны нягтлан бодогч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг-Өдөр тутмын тооцоо, бүртгэл хийх 
-Нягтлангаар 2-аас багагүй жил ажиллаж байсан туршилгатай 
-Тайлан тооцоо гаргаж байсан туршилгатай 
-Ажлын байрны тодорхойлолтын дагуу","2,100,000 - 2,500,000 ₮"
ЦАХИЛГААНЫ ИНЖЕНЕР,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгИнженер нь уурхайн орчинд үүсч буй цахилгааны доголдол, обьектын цахилгааны нөхцлийг загварчлах, сайжруулах, бусад цахилгаан тоног төхөөрөмжүүд, удирдлагын холбооны системийн үйл ажиллагааг шалгах, хянах, засварлах зэрэг ажлын байрны тодорхойлолтонд тусгагдсан үндсэн ажил үүргийг гүйцэтгэнэ. Өндөр намын цахилгаан холболт хийж байсан туршилгатай байх. Бутлуурын үйлдвэр, баяжуулахын үйлдвэр дээр ажиллаж байсан бол давуу тал болно","2,500,000 - 3,000,000 ₮"
Дотоод аудитор,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгБайгууллагын үйл ажиллагаа, үзүүлж байгаа ажил, үйлчилгээ нь холбогдох хууль, журамд нийцэж байгаа эсэхэд хяналт тавьж, зөрчил, эрсдлээс урьдчилан сэргийлэх, хяналтаар илэрсэн зөрчил, дутагдлыг арилгах, байгууллагын үйл ажиллагааг сайжруулах талаар зөвлөмж гаргаж, хэрэгжилтийг хангуулах, зөрчил дахин давтагдахаас сэргийлэх","1,800,000 - 2,100,000 ₮"
ПРОГРАМ ХӨГЖҮҮЛЭГЧ,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэгБайгууллагын програм хангамжийг байнга сайжруулан тасралтгүй найдвартай ажиллагааг хангах.
Шинэ програм хангамж боловсруулах.","3,000,000 - 4,000,000 ₮"
Төслийн админ /ОТ сайтад ээлжээр ажиллах/,"Захиргаа, Хүний нөөц","Гүйцэтгэх үндсэн үүрэг
ОТ сайт дээр 14/14 ээлжийн хуваарийн дагуу төслийн багт ажиллана. 
Ажилтнуудын аялал, нислэгийн зохицуулалт, амрах өрөөний захиалга хийх. 
Сургалт захиалах, бичиг баримтуудын хүчинтэй байдлыг шалгах. 
Төрөл бүрийн тайлан хийж гүйцэтгэх, менежментийн багт туслалцаа үзүүлэх. 
Цаг бүртгэл хөтлөх.
Шууд удирдлагаас өгсөн бусад үүрэг даалгаврыг хийж гүйцэтгэх.","2,100,000 - 2,500,000 ₮"
RESEARCHER,Information Technology and Telecommunications,"Job description- Responsible for conducting research and analysis to support the development of our ERP systems and implementation. This is a full-time on-site role located in Ulaanbaatar. Your day-to-day tasks will include identifying moduls in the Odoo ERP, collaborating with the implementation team to explore new updates, conducting market research, and monitoring the competition.","2,100,000 - 2,500,000 MNT   /Monthly/"
НЭВТРҮҮЛЭЛТИЙН МЕНЕЖЕР,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Мэдээлэл технологийн үйлчилгээ, програм хөгжүүлэлтийн компанид нэвтрүүлэлттэй холбоотой үйл ажиллагааг хариуцах, харилцагчдад мэдээлэл өгөх, асуултанд хариулах,тулгамдсан асуудлыг шийдвэрлэж өгөх
Ажлын байрны тодорхойлолтод заасан бусад чиг үүргүүдийг хэрэгжүүлж ажиллана.","1,500,000 - 1,800,000 ₮"
РЕСЕПШИН /оройн цагаар ажиллах/,"Аялал жуулчлал, зочид буудал","Гүйцэтгэх үндсэн үүрэгТансаг зэрэглэлийн лоунж, клуб-д ээлжээр ажиллана. 
Орой ажиллах цаг: 19:00-04:00 цаг
 

Ирсэн зочдыг угтах, үдэх
Зочид болон үйлчлүүлэгчдийг мэдээллээр хангах
Ажлын байрны тодорхойлолтод заасан бусад ажил үүргийг гүйцэтгэнэ","1,500,000 - 1,800,000 ₮"
МАРКЕТИНГИЙН МЕНЕЖЕР,"Маркетинг, PR, Менежмент","Гүйцэтгэх үндсэн үүрэг
Тансаг зэрэглэлийн speakeasy bar, лоунж, клуб-ын Борлуулалт өсгөхөд чиглэсэн маркетинг идвэхижүүлэлтийн ажил санаачлах, үр дүн гаргах;
Member гишүүдийг хариуцан маркетинг идвэхижүүлэлт хийж, багаар хамтран ажиллана","2,100,000 - 2,500,000 ₮"
ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /СШ/,"Захиргаа, Хүний нөөц","Гүйцэтгэх үндсэн үүрэг
Байгууллагын бүрдүүлэлт, сонгон шалгаруулалтын журам, стандартын дагуу процессийг үр дүнтэй удирдан зохион байгуулах
Бүрдүүлэлтийн олон талт сувгийг хөгжүүлэх замаар ажил горилогчийн хандалтыг нэмэгдүүлэх
Түлхүүр ажлын байрны дагуу ажил горилогч / нөөцийн бүрдүүлэлтийг хийх
Хариуцсан салбарын хөдөлмөрийн эрхлэлтийн харилцааг Хөдөлмөрийн харилцааны чиг үүрэг хариуцсан Хүний нөөцийн мэргэжилтэнтэй хамтран удирдах
Шинэ ажилтны дасан зохицол чиглүүлэгийн профессийг журмын дагуу удирдах замаар туршилтын хугацаанд жинхэлсэн ажилтны хувийг тогтвортой хадгалах
Хариуцсан хүний нөөцийн функцийн үйл ажиллагааг сайжруулах, холбоотой тайланг мэдээг бэлтгэх","2,100,000 - 2,500,000 ₮"
ТӨСЛИЙН МЕНЕЖЕР /АНГЛИ ХЭЛТЭЙ/,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Компаний борлуулалтын бодлого тодорхойлж хэрэгжилтийг хангах, холбоотой хөгжүүлэлтүүдийг хийж гүйцэтгэх, үйлдвэрлэлийн үйл ажиллагааны уялдаа холбоог сайжруулах
Зах, зээлийн судалгаа хийх- Хэрэглэгчийн шаардлагын дагуу бүтээгдэхүүн хөгжүүлэлт хийх, санал санаачлага гаргах, гүйцэтгүүлэх
Компаний бизнесийн үр ашгийг нэмэгдүүлэхэд шаардлагатай тооцоо, судалгааг хийх, санал зөвлөмж, төлөвлөгөө гаргах.
Дүрэм журмын боловсруулалт, хэрэгжилтэнд хяналт тавих, сайжруулах
Байгууллагын хүрээнд шийдвэрлэх шаардлагатай асуудлыг шууд удиррдлагаар шийдвэрлүүлэх","3,000,000 - 4,000,000 ₮"
АШИГЛАЛТЫН ИНЖЕНЕР,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгУулын ажлын дунд болон богино хугацааны төлөвлөлт гаргах
Ажлын байрны тодорхойлолтын дагуу бусад чиг үүрэг","4,000,000 - 5,000,000 ₮"
Quantity Surveyor,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Estimating quantity from drawings
Preparation of schedules of works, schedules of materials, equipment etc.
Preparation of cost of job scopes, materials
Coordination of contract with legal department and other related departments
Liaison with construction department, main contractor and sub-contractors
Preparation of monthly reports, analysis, budget reports, risk assessments, and cost control reports
Evaluate monthly progress payments
Preparation cost reports for value engineering and additional works, change orders and variations
Collecting quotations and prepare comparison reports",
Үйл ажиллагааны менежер,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэг 

Шууд удирдлагын өдөр тутмын ажиллагаанд дэмжлэг үзүүлэх
Шууд удирдлагаас өгсөн үүрэг даалгаварыг цаг тухайд нь чанартай хийж гүйцэтгэх 
Судалгаа, үнэлгээ, анализ хийх
Төслийн болон үйл ажиллагааны төлөвлөгөө боловсруулах
Төлөвлөгөөний дагуу явцыг хянах, үр дүнг хэмжих, сайжруулах
Ажлын байрны тодорхойлолтод заасан бусад чиг үүргийг хэрэгжүүлнэ","2,500,000 - 3,000,000 ₮"
IT Мэргэжилтэн,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Ажлын байрны тодорхойлолтонд заасан үндсэн чиг үүргүүд
Байгууллагын мэдээллийн харилцаа холбооны аюулгүй байдлыг хангах
Компьютерийн техник хангамж, программ хангамж дотоод сүлжээний хэвийн үйл ажиллагаа, бүрэн бүтэн найдвартай байдлыг ханган ажиллахад дэмжлэг үзүүлэх
Цаг бүртгэлийн төхөөрөмжийн тохиргоо хийх, дата-г илгээх 
Байгууллагын сүлжээ, сервер комьютер ашиглалт засвар үйлчилгээ, техниктэй холбоотой ажлууд дээр бие даан ажиллах чадвартай
Өдөр тутмын үйл ажиллагаандаа Мэдээллийн аюулгүй байдлын холбогдох дүрэм журмыг мөрдөн ажиллах","1,200,000 - 1,500,000 ₮"
Бульдозерын оператор /CAT-D8R/,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгАюулгүй  ажиллагааны  горимын  дагуу   зам  талбай  тэгшлэх, хөрс хуулалт,  ул түрэх, газар шороо ухах, тараах ажлыг гүйцэтгэх","2,500,000 - 3,000,000 ₮"
Санхүүгийн менежер,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэг
Компанийн санхүүгийн төсөв боловсруулах, гүйцэтгэлд шинжилгээ хийж хяналт тавих;
Удирдлагыг тайлан мэдээгээр хангах;
Группийн нэгтгэл тайлан бэлтгэх;","2,500,000 - 3,000,000 ₮"
ТЭЭВЭР ХАРИУЦСАН МЭРГЭЖИЛТЭН,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэгКомпанийн хэмжээнд импортоор орж ирж байгаа бараа материалыг хүлээн авахтай холбоотой үйл ажиллагааг зөв зүйтэй зохион байгуулах импортлогч компани, салбар нэгжийн үйл ажиллагаанд дэмжлэг үзүүлэх.","1,500,000 - 1,800,000 ₮"
Борлуулалтын менежер,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг

Ажлын байрны тодорхойлолтын дагуу ажил үүрэг гүйцэтгэх,
Компанитай хамтран ажиллах боломжит үйлчлүүлэгчдийг хайж олох, зөвлөх,
Ажлын гэрээ болон захиалга дээр ажиллах чадамжтай,
Захиалга: ачааны байршлыг хянах, хүргэгдэх хугацааг тооцоолох, үйлчлүүлэгч, гүйцэтгэгч нартай харилцах, тээврийн баримт бичгийг шалгах (CMR, нэхэмжлэх, ачааны мэдээллийн хуудас гэх мэт), шинээр гарч ирж буй асуудлуудыг шийдвэрлэх,
Албан томилолтоор ажиллах /олон улсын/, үзэсгэлэн, хурал зөвлөгөөнд оролцох,
Авлагын үйл ажиллагаанд оролцох.","2,100,000 - 2,500,000 ₮"
Ерөнхий нягтлан бодогчийн орлогч,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг

Гадаад харилцагч байгууллагуудын өглөг болон авлага болон санхүүгийн гүйлгээг хянах, бүртгэл хийх.
Байгууллагын үндсэн эд хөрөнгийн бүртгэл тайлан, бараа материал, мөнгөн гүйлгээ болон өглөг авлагыг хянах.
Гадаад харилцагч байгууллага болон банкуудтай харилцах. Гадаад дотоод санхүүгийн тайлан мэдээ бэлтгэх, илгээх.","2,500,000 - 3,000,000 ₮"
Үйлчилгээний зөвлөх,Үйлчилгээ,"Гүйцэтгэх үндсэн үүрэгҮйлчлүүлэгчтэй харилцах, хувцас эдлэлийн онцлог болон цэвэрлэгээний талаар зөвлөн мэдээлэх, хувцас эдэлийг цэвэрлэгээнд хүлээн авах, хүлээлгэн өгөх","1,500,000 - 1,800,000 ₮"
НЯГТЛАН БОДОГЧ,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгАнхан шатны болон нягтлан бодох бүртгэлийг зохих журмын дагуу хөтлөх, мэдээллийн бүрдүүлэлтийг хянах,  сар, улирал, жилийн тайлан мэдээ гаргах, удирдлага болон санхүүгийн тайлан хэрэглэгчдийг шийдвэр гаргахад үнэн зөв мэдээллээр шуурхай хангах.","1,500,000 - 1,800,000 ₮"
Дотор заслын мужаан ажилд авна,"Барилга, Үл хөдлөх хөрөнгө",Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтод тусгагдсан чиг үүргийн дагуу ажиллана.,"2,500,000 - 3,000,000 ₮"
Хүний нөөцийн мэргэжилтэн,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг

Мэргэжилтэнтэй хөдөлмөрийн гэрээ хийх, хөдөлмөрийн гэрээ цуцлах, ээлжийн амралтын хуваарь гаргах, ажилтнуудын сарын ажилласан мэдээ гаргах.
Программ дээр ажиллах.","2,100,000 - 2,500,000 ₮"
БҮТЭЭГДЭХҮҮН ХӨГЖҮҮЛЭЛТИЙН МЭРГЭЖИЛТЭН,"Маркетинг, PR, Менежмент","Гүйцэтгэх үндсэн үүрэг
Үйл ажиллагаа, бүтээгдэхүүний одоогийн нөхцөл байдалд дүн шинжилгээ хийх
Судалгаанд үндэслэн бүтээмж, үр ашгийг нэмэгдүүлэх санал санаачилга гаргах
Бүтээгдэхүүн үйлчилгээний шинэ чиглэл, хүрээг бий болгох, санаачлах
Төслийн эдийн засгийн тооцоог боловсруулах
Олон улсын болон дотоодын зах зээлийн судалгаа хийх","2,100,000 - 2,500,000 ₮"
ИМПОРТЫН МЕНЕЖЕР /ХЯТАД ХЭЛТЭЙ/,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Байгууллагад шаардлагатай бараа бүтээгдэхүүнийг Хятад улсаас захиалах
Зах зээлийн судалгаа хийх
Худалдан авалтын үйл ажиллагааг зохион байгуулах
Ажлын байрны тодорхойлолтод заагдсан бусад чиг үүрэг","2,100,000 - 2,500,000 ₮"
ХАЙГУУЛЫН ГЕОЛОГИЧ  /Мэргэшсэн/,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг
Компанийн эзэмшлийн хайгуулын болон ашиглалтын тусгай зөвшөөрөл бүхий уурхайн талбайд явуулах геологи, хайгуулын ажлын урт болон богино хугацааны төлөвлөлт, стратеги бодлогыг хэрэгжүүлэх, судалгаа шинжилгээ хийх, гүйцэтгэх; 
Геологи, хайгуулын ажлыг батлагдсан төлөвлөгөөний дагуу хэвийн тасралтгүй явуулах
Ажлын байрны тодорхойлолтын дагуу бусад чиг үүрэг","4,000,000 - 5,000,000 ₮"
ТӨСЛИЙН МЕНЕЖЕР,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг- Төслийн багийг удирдан зохион байгуулах, 
- Төслийн хамрах хүрээ, нөөц, төлөвлөгөө, төсөв гаргах амжилттай хэрэгжүүлж дуусахад шаардлагатай хүчин зүйлсийн судалгаа, төлөвлөгөөг боловсруулах
- Хариуцсан төслийн явц, гүйцэтгэлийг хянах 
- Төслийн талуудыг мэдээллээр хангах, уулзалт, сургалтыг төлөвлөгөөний дагуу тухай бүрт нь зохион байгуулах
- Төсөл эхэлхээс дуусах хүртэлх үйл ажиллагааг хариуцан ажиллах","2,100,000 - 2,500,000 ₮"
НЯГТЛАН БОДОГЧ,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Ажлын байрны тодорхойлолтод заасан чиг үүргийг гүйцэтгэнэ.","2,100,000 - 2,500,000 ₮"
Хангамжийн менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн нөөцийг зохистой түвшинд удирдаж бизнесийн тасалдалгүй байдлаар хангах, агуулахын стандартыг мөрдүүлэх","2,500,000 - 3,000,000 ₮"
VIDEO GRAPHER / ВИДЕО ГРАФИК,"Дизайн, Энтертайнмент, Соёл урлаг","Гүйцэтгэх үндсэн үүрэгВидео эдит хийх
График эффектууд хийх
Постер хийх","2,500,000 - 3,000,000 ₮"
Тээврийн жолооч,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн тэрэг техникийг ариг гамтай ашиглаж
Ачаа бараагаа 21 аймагт хорогдолгүй, барааны чанар алдагдуулахгүй, хугацаанд нь хүргэж өгөх","3,000,000 - 4,000,000 ₮"
PROJECT CONTROLLER/САНХҮҮГИЙН ХЯНАЛТЫН МЭРГЭЖИЛТЭН,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгТөслүүдийн зардалд санхүүгийн хяналт тавих замаар төслийн санхүүжилтийг хэмнэлттэй, үр дүнтэй зарцуулах нөхцөлийг бүрдүүлэх, төслийн эдийн засгийн үр ашгийн тооцоо хийх","2,500,000 - 3,000,000 ₮"
Бүс хариуцсан менежер/ Өмнөговь аймагт суурин/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгОрон нутагт борлуулалтыг өсгөх салбарын хэвийн үйл ажилгааг хангахад шаардлагатай хүн хүч,дүрэм журам, нөөцийг бий болгох,ажилтнуудыг сургах чадавхижуулах.","2,100,000 - 2,500,000 ₮"
График дизайнер,"Дизайн, Энтертайнмент, Соёл урлаг","Гүйцэтгэх үндсэн үүрэг- Компанийн сошиал сурталчилгааны дизайн, эх бэлтгэл, боловсруулалт, хөгжүүлэлт болон вэб хуудасны контент хөгжүүлэлтийн ажлыг хийж гүйцэтгэх.
- Маркетингийн бусад үйл ажиллагаанд дэмжлэг үзүүлж ажиллах.","2,100,000 - 2,500,000 ₮"
Үйлчлэгч,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэгАвтомашин засварын байгууллагын доторх ариун цэврийг өндөр түвшинд байлгах, ажилтнуудын тав тухтай ажиллах цэвэр цэмцгэр орчиныг бүрдүүлэх","1,200,000 - 1,500,000 ₮"
Тооцооны нягтлан бодогч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Мөнгөн хөрөнгийн бүртгэл,  хөтлөлт
Борлуулалтын тооцоог бүртгэх, хянах
Харилцагчидтай тооцоо нийлэх
Тайлан мэдээг бэлтгэн тайлагнах
Борлуулагчийн гаргаж өгсөн тайланг үндэслэн бүх төрлийн тооцоог хянаж шалгах, өр авлага үүсгэхгүй ажиллах
Бараа, бэлэн бүтээгдэхүүний тооллого хийх
Өглөг, авлагын тооцоо нийлэх, хяналт тавих","2,100,000 - 2,500,000 ₮"
Бизнес хөгжлийн албаны дарга,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн урт болон богино хугацааны борлуулалтын төлөвлөлт гаргах
Бизнесийг өргөжүүлэхэд чиглэсэн шинэ бизнес, шинэ категорийн судалгаа хөгжүүлэлт, нэвтрүүлэлт хийх
Зах зээлийн болон борлуулалтын дата анализ, тайлан хийх","4,000,000 - 5,000,000 ₮"
ҮЙЛ АЖИЛЛАГААНЫ МЕНЕЖЕР /шинэ ресторан/,"Ресторан, Хоол үйлдвэрлэл","Гүйцэтгэх үндсэн үүрэг
Стратеги төлөвлөгөө, рестораны үйл ажиллагааны зорилтыг хэрэгжүүлэх, үйл ажиллагааны төлөвлөгөө боловсруулж хэрэгжүүлэх,
Ресторан үйлчилгээний ажилтнуудын ажиллах журам, ажлын цаг, ажил үүргийн хуваарь, ажлын байрны тодорхойлолтыг боловсруулах, мөрдүүлэх, тэдний ажлыг үнэлж дүгнэх,
Хоол үйлдвэрлэлийн үйл ажиллагаа, технологи үйл явцыг оновчтой зохион байгуулах, орчин үеийн чиг хандлагад нийцүүлэн технологийн баримт бичгийг боловсруулах, чанар, аюулгүй байдлыг хангаж хяналт тавьж ажиллах, хэрэгжүүлэх. Аюулгүй ажиллагааны дүрмийг боловсруулж мөрдүүлэх,
Үйлчлүүлэгчийн хэрэгцээ шаардлагад нийцүүлэн эрүүл, амттай, чанартай хоол, уух зүйлсээр үйлчлэх,
Рестораны ажилтнуудыг шууд удирдлагаар хангаж, рестораны өдөр тутмын хэвийн үйл ажиллагаанд хяналт тавих,
Рестораны ариун цэвэр, эрүүл ахуйн стандартад нийцүүлэн ажиллах, хяналт тавих, үнэлж дүгнэх,
Рестораны тавилга эд хогшил, тоног төхөөрөмжийн бүрэн бүтэн байдлыг хангах, хяналтын бүртгэл хөтлөх,","2,500,000 - 3,000,000 ₮"
ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэгБарилгын төслийн хүний нөөцийн бүрдүүлэлт, сонгон шалгаруулалттай холбоотой ажлыг мэргэжлийн төвшинд хийж гүйцэтгэнэ.
Байгууллагын багийг бүрдүүлнэ.
Ажилчдын төлөвлөгөө, тайлан авч ажлын бүтээмж хянан сайжруулах бодлогын болон хяналтын ажлыг хийнэ.
Цаг бүртгэл хянан, ажилчдын ажлын бүтээмж нийгмийн асуудлуудыг хүртэмжтэй болгох талаар ажиллана.","1,500,000 - 1,800,000 ₮"
Худалдааны төлөөлөгч,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн нийлүүлсэн барааг хот орчмын сумдуудын харилцагч хэрэглэгчдэд хүргэж борлуулах, зах зээлд тэргүүлэх байр суурийг хадгалах,борлуулалт нэмэгдүүлэх бүх арга хэмжээг авах","1,800,000 - 2,100,000 ₮"
НЯГТЛАН БОДОГЧ,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Худалдан авагч болон ААН-ын өдөр тутмын гүйлгээ тооцоог хийж, сар улирал жилийн санхүүгийн болон татварын тайлан тооцоог гаргах, холбогдох байгууллагуудад хүргүүлэх
Авлагын тооцоог хариуцан ажиллаж, тайлагнах
Бичиг баримт боловсруулах чадвартай
Бусад (компанийн удирдлагаас өгсөн үүрэг даалгаврыг гүйцэтгэх)","1,800,000 - 2,100,000 ₮"
Түгээлтийн жолооч,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэгБараа бүтээгдэхүүнийг гэмтэл дутагдалгүй харилцагчдад маршрутын дагуу түргэн шуурхай явж хүргэх, хариуцсан техник хэрэгслийг ариг гамтай осол аюулгүй ашиглах","1,500,000 - 1,800,000 ₮"
ГЭРЭЭНИЙ МЭРГЭЖИЛТЭН,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Компанийн үйл ажиллагаатай холбоотой бүх төрлийн гэрээ хэлцэл, дүрэм журам заавар, шаардлагатай тушаал шийдвэрийн хууль зүйн хянаж, боловсруулах
Хууль эрх зүйн хамгаалалт эрсдэлгүй орчин бүрдүүлэн ажиллах
Гэрээ контракт хяналт тавих, Албан бичиг боловсруулах
Байгууллагын дотоод журамд заасан ажил үүрэг 
Удирдлагын зүгээс өгсөн үүрэг даалгавар","1,500,000 - 1,800,000 ₮"
Оффисийн үйлчлэгч,Үйлчилгээ,"Гүйцэтгэх үндсэн үүрэг- Оффисийн өдөр тутмын цэвэрлэгээг хариуцан ажиллана,","800,000 - 1,000,000 ₮"
Сувгийн хөгжлийн менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгКомпанийн орон нутаг дахь сувгийг амжилтын дүр зургийн дагуу хөгжүүлэх, загвар цэгүүдийг бий болгох, сувгийн онцлогт тохирсон оновчтой хөтөлбөр, идэвхжүүлэлт, санал, бодлогыг хэрэгжүүлэхэд туслах, сувгийн А","2,500,000 - 3,000,000 ₮"
