Title,Sector,Description,Salary
Уулын мастер,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгУурхайн ажлыг удирдан зохион байгуулах 
Уулын ажлын тайлан төлөвлөгөө, тооцоо хийх
Техникүүдийн ажлын хуваарилалт хийх","2,500,000 - 3,000,000 ₮"
Уулын оператор /дамп/,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг
Хөдөлмөрийн Хууль тогтоомж, дүрэм, журмууд компанийн болон уурхайн дотоод журам, ХАБ-ын дүрэм журам, аюулгүй ажиллагааны заавар зөвлөмжийг мөрдөн ажиллах
Ажлын байрны тодорхойлолтонд тусгагдсан үндсэн чиг үүргийг гүйцэтгэх
Хөдөлмөр хамгаалал, аюулгүй ажиллагаа, эрүүл ахуйн шаардлагыг мөрдөх
Жолооч нь өөрийн хариуцсан техникийн бүрэн бүтэн байдлыг хангаж ажиллах","2,100,000 - 2,500,000 ₮"
Сантехникийн инженер,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Барилгын сантехникийн шугам сүлжээний ажилд хяналт тавьж, төсөв графикт төлөвлөгөөний дагуу угсралтын ажлыг хянах зохион байгуулах 
Удирдлагаас гарсан шийдвэрийн биелэлтийг хангаж ажиллах","1,800,000 - 2,100,000 ₮"
Сургуулийн үйлчлэгч,Үйлчилгээ,Гүйцэтгэх үндсэн үүрэгСургуулийн орчинд үйлчлэгчээр ажиллана,
Тооцооны нягтлан бодогч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Компаний нягтлан бодох бүртгэлийн өдөр тутмын үйл ажиллагаанд оролцох
Удирдлагыг санхүүгийн мэдээллээр хангаж ажиллах 
Харилцагчтай тооцоо нийлж баталгаажуулах 
Бараа материалын үлдэгдэл тоо хэмжээг гаргаж хариуцан ажиллах 
Бараа материал ачих тээвэр хариуцан ажиллах","1,500,000 - 1,800,000 ₮"
"""ТЕХНОЛОГИЧ ИНЖЕНЕР"" ажлын байранд урьж байна",Уул уурхай,"Гүйцэтгэх үндсэн үүрэг- Хөвүүлэн баяжуулах технологийн процессийг удирдан зохион байгуулах
- Баяжуулах үйлдвэрийн үйл ажиллагаанд хяналт тавих, алдааг засах
- Үндсэн болон туслах тоног төхөөрөмжийн ажлын зураг боловсруулж танилцуулах, зохион бүтээлтэнд хяналт тавих
- Анхдагч хүдэр, хаягдал, баяжмалын агуулгад хяналт тавьж үйлдвэрийн бүтээл, металл авалтын тооцоог хийх
- Тээрмийн нунтаглалт, тээрмийн шаар, хүдрийн харьцааг хянах, хөвүүлэн баяжуулалтын металл барилтыг удирдах, хянах, тохируулга хийх",
ХУДАЛДААНЫ ЗӨВЛӨХ-GGI BEAUTY,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Гоо сайхны бараа бүтээгдэхүүнийг хэрэглэгчид танилцуулах, үйлчлүүлэгчийн сэтгэл ханаамжид нийцсэн үйлчилгээг үзүүлэх
Ажлын байрны өдөр тутмын үйл ажиллагааг хариуцан ажиллах
Ажлын байрны тодорхойлолтод заасан бусад чиг үүргүүд","1,000,000 - 1,200,000 ₮"
БОРЛУУЛАЛТЫН МЕНЕЖЕР,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэгКомпанийн бизнесийн үйл ажиллагааг хөгжүүлэхэд хувь нэмрээ оруулах, борлуулалтын шинэ боломж үүсгэх, өргөжүүлэн хөгжүүлэх, бүтээгдэхүүн, үйлчилгээний борлуулалтыг нэмэгдүүлэхэд зорин ажиллах
 
Бидний ""Таны Дижитал Аяллын Итгэлт Түнш"" нь байх зорилгыг хэрэгжүүлэхэд хамтран ажиллахыг урьж байна.
Хэрэв Та Өөдрөг хандлага, Өрнүүн эрмэлзэл, Өндөр чадвартай бол бидэнд анкетаа ирүүлээрэй.
 
#WeOffer #FlexibleWorkCulture #Productivity&CollaborationTools #HybridWorkModel #HybridWorkplace",
Дотоод аудитор /Мэдээлэл технологи/,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Группийн Мэдээлэл технологийн үйл ажиллагааг сайжруулах, түүний үнэ цэнийг нэмэгдүүлэхэд чиглэсэн, системтэй, оновчтой арга хандлагаар группийн эрсдэлийн удирдлага, засаглал ба дотоод хяналтын үйл явцыг үнэлэх ба сайжруулах, зөвлөх үйл ажиллагааг үзүүлэх
Дотоод аудитын хэлтсийн үйл ажиллагааг хөнгөвчлөх - цахимжуулах, мэдээлэлд дүн шинжилгээ хийх, хэлтсийн үйл ажиллагааны үр ашгийг нэмэгдүүлэх
Мэдээлэл аюулгүй хадгалагдаж, бүрэн бүтэн байдал нь алдагдаагүй, шаардлагатай цагт хүртээмжтэй байгаа эсэхийг шалган баримтжуулж, системүүдийн ашиглалт, удирдлагад аливаа үр ашиггүй нөхцөл байдал байгаа эсэхийг олж илрүүлэх","3,000,000 - 4,000,000 ₮"
Ахлах нягтлан бодогч,Уул уурхай,"Гүйцэтгэх үндсэн үүрэгКомпанийн санхүү, Нягтлан бодох бүртгэлийн Олон Улсын болон Монгол Улсын стандартад нийцүүлэн хөтлөх
Ажлын байрны тодорхойлолтод заасны дагуу","2,500,000 - 3,000,000 ₮"
